           Element              Name           Azimuth              x[m]              y[m]              z[m]
             drift         DBENDEND:        107.959572         -2.971635        107.878992         -0.000000
             drift         DBENDEND:        108.099272         -2.982963        108.018232         -0.000000
          thinQuad            BENDQ:        108.099272         -2.982963        108.018232         -0.000000
             sbend             BEND:        114.220655         -3.504100        114.117392         -0.000000
          thinQuad            BENDQ:        114.220655         -3.504100        114.117392         -0.000000
             drift         DBENDEND:        114.360355         -3.516558        114.256535         -0.000000
             drift         DBENDEND:        114.500055         -3.529016        114.395679         -0.000000
          thinQuad            BENDQ:        114.500055         -3.529016        114.395679         -0.000000
             sbend             BEND:        120.621438         -4.099647        120.490407         -0.000000
          thinQuad            BENDQ:        120.621438         -4.099647        120.490407         -0.000000
             drift         DBENDEND:        120.761138         -4.113234        120.629445         -0.000000
            marker     MF14:cellmark        120.761138         -4.113234        120.629445         -0.000000
             drift           DBPMIN:        121.021793         -4.138585        120.888864         -0.000000
          vmonitor          VBPMF14:        121.021793         -4.138585        120.888864         -0.000000
             drift          DBPMOUT:        121.221818         -4.158040        121.087941         -0.000000
        quadrupole           HQUADD:        122.900758         -4.321333        122.758921         -0.000000
             drift            DQOUT:        123.072538         -4.338040        122.929887         -0.000000
             drift          DPACKIN:        123.215413         -4.351936        123.072084         -0.000000
        quadrupole            TQDE2:        123.977413         -4.426048        123.830472         -0.000000
     thinSextupole              TSD:        123.977413         -4.426048        123.830472         -0.000000
             vkick            VDF14:        123.977413         -4.426048        123.830472         -0.000000
             drift         DPACKU2D:        124.383813         -4.465574        124.234945         -0.000000
            marker    CS5F1AM:fdsext        124.383813         -4.465574        124.234945         -0.000000
             drift         DPACKOUT:        124.901338         -4.515909        124.750016         -0.000000
             drift         DBENDEND:        125.041038         -4.529496        124.889054         -0.000000
          thinQuad            BENDQ:        125.041038         -4.529496        124.889054         -0.000000
             sbend             BEND:        131.162421         -5.149583        130.978949         -0.000000
          thinQuad            BENDQ:        131.162421         -5.149583        130.978949         -0.000000
             drift         DBENDEND:        131.302121         -5.164299        131.117872         -0.000000
             drift         DBENDEND:        131.441821         -5.179014        131.256795         -0.000000
          thinQuad            BENDQ:        131.441821         -5.179014        131.256795         -0.000000
             sbend             BEND:        137.563205         -5.848517        137.341456         -0.000000
          thinQuad            BENDQ:        137.563205         -5.848517        137.341456         -0.000000
             drift         DBENDEND:        137.702905         -5.864360        137.480254         -0.000000
             drift         DBENDEND:        137.842605         -5.880203        137.619053         -0.000000
          thinQuad            BENDQ:        137.842605         -5.880203        137.619053         -0.000000
             sbend             BEND:        143.963988         -6.599077        143.698079         -0.000000
          thinQuad            BENDQ:        143.963988         -6.599077        143.698079         -0.000000
             drift         DBENDEND:        144.103688         -6.616046        143.836744         -0.000000
             drift         DBENDEND:        144.243388         -6.633015        143.975410         -0.000000
          thinQuad            BENDQ:        144.243388         -6.633015        143.975410         -0.000000
             sbend             BEND:        150.364771         -7.401214        150.048400         -0.000000
          thinQuad            BENDQ:        150.364771         -7.401214        150.048400         -0.000000
             drift         DBENDEND:        150.504471         -7.419308        150.186923         -0.000000
            marker     MF15:cellmark        150.504471         -7.419308        150.186923         -0.000000
             drift           DBPMIN:        150.765126         -7.453068        150.445382         -0.000000
          hmonitor          HBPMF15:        150.765126         -7.453068        150.445382         -0.000000
             drift          DBPMOUT:        150.965151         -7.478975        150.643722         -0.000000
        quadrupole           HQUADF:        152.644091         -7.696431        152.308520         -0.000000
             drift            DQOUT:        152.815871         -7.718680        152.478853         -0.000000
             drift         DPIN5LOC:        152.984146         -7.740475        152.645711         -0.000000
        quadrupole            TQFE1:        153.746146         -7.839170        153.401293         -0.000000
     thinSextupole              TSF:        153.746146         -7.839170        153.401293         -0.000000
             hkick            HDF15:        153.746146         -7.839170        153.401293         -0.000000
             drift        DPOUT5LOC:        153.908071         -7.860142        153.561854         -0.000000
             drift          DFCANIN:        154.117621         -7.887283        153.769639         -0.000000
             drift             FCAN:        154.562121         -7.944855        154.210394         -0.000000
             drift         DFCANOUT:        154.644671         -7.955547        154.292249         -0.000000
             drift         DBENDEND:        154.784371         -7.973641        154.430772         -0.000000
          thinQuad            BENDQ:        154.784371         -7.973641        154.430772         -0.000000
             sbend             BEND:        160.905754         -8.791113        160.497326         -0.000000
          thinQuad            BENDQ:        160.905754         -8.791113        160.497326         -0.000000
             drift         DBENDEND:        161.045454         -8.810331        160.635698         -0.000000
             drift         DBENDEND:        161.185154         -8.829549        160.774070         -0.000000
          thinQuad            BENDQ:        161.185154         -8.829549        160.774070         -0.000000
             sbend             BEND:        167.306537         -9.696240        166.833787         -0.000000
          thinQuad            BENDQ:        167.306537         -9.696240        166.833787         -0.000000
             drift         DBENDEND:        167.446237         -9.716581        166.971998         -0.000000
             drift         DBENDEND:        167.585937         -9.736921        167.110210         -0.000000
          thinQuad            BENDQ:        167.585937         -9.736921        167.110210         -0.000000
             sbend             BEND:        173.707321        -10.652776        173.162692         -0.000000
          thinQuad            BENDQ:        173.707321        -10.652776        173.162692         -0.000000
